character,dialogue,episode
THREEPIO,"It wasnt my fault, sir.  Please dont deactivate me.  I told him not to go, but hes faulty, malfunctioning kept babbling on about his mission.",episode IV
LUKE,"Oh, no",episode IV
THREEPIO,That R2 unit has always been a problem.  These astro-droids are getting quite out of hand.  Even I cant understand their logic at times. ,episode IV
LUKE,How could I be so stupid  Hes nowhere in sight.  Blast it,episode IV
THREEPIO,"Pardon me, sir, but couldnt we go after him",episode IV
LUKE,Its too dangerous with all the Sand People around.  Well have to wait until morning.,episode IV
OWEN,"Luke, Im shutting the power down for the night.",episode IV
LUKE,"All right, Ill be there in a few minutes.  Boy, am I gonna get it.",episode IV
LUKE,You know that little droid is going to cause me a lot of trouble.,episode IV
THREEPIO,"Oh, he excels at that, sir.",episode IV
OWEN,Luke  Luke  Luke  Where could he be loafing now,episode IV
OWEN,Have you seen Luke this morning,episode IV
AUNT BERU,"He said he had some things to do before he started today, so he left early.",episode IV
OWEN,Uh  Did he take those two new droids with him,episode IV
AUNT BERU,I think so.,episode IV
OWEN,"Well, hed better have those units in the south range repaired bemidday or therell be hell to pay",episode IV
LUKE,Hows that.,episode IV
LUKE,"Old Ben Kenobi lives out in this direction somewhere, but I dont see how that R2 unit could have come this far.  We must have missed him.  Uncle Owen isnt going to take this very well.",episode IV
THREEPIO,"Sir, would it help if you told him it was my fault.",episode IV
LUKE,Sure.  He needs you.  Hed probably only deactivate you for a day or so...,episode IV
THREEPIO,"Deactivate  Well, on the other hand if you hadnt removed his restraining bolt...",episode IV
LUKE,"Wait, theres something dead ahead on the scanner.  It looks like our droid... hit the accelerator.",episode IV
LUKE,"Hey, whoa, just where do you think youre going",episode IV
THREEPIO,"Master Luke here is your rightful owner.  Well have no more of this Obi-Wan Kenobi jibberish... and dont talk to me of your mission, either.  Youre fortunate he doesnt blast you into a million pieces right here.",episode IV
LUKE,"Well, come on. Its getting late.  I only hope we can get back before Uncle Owen really blows up.",episode IV
THREEPIO,"If you dont mind my saying so, sir, I think you should deactivate the little fugitive until youve gotten him back to your workshop.",episode IV
LUKE,"No, hes not going to try anything.",episode IV
LUKE,Whats wrong with him now,episode IV
THREEPIO,"Oh my... sir, he says there are several creatures approaching from the southeast.",episode IV
LUKE,"Sand People  Or worse  Come on, lets have a look.  Come on.",episode IV
LUKE,"There are two Banthas down there but I dont see any... wait a second, theyre Sand People all right.  I can see one of them now.",episode IV
BEN,Hello there  Come here my little friend.  Dont be afraid.,episode IV
