character,dialogue,episode
THREEPIO,What did he say,episode VI
LUKE,... Both are hardworking and will serve you well.,episode VI
THREEPIO,"This cant be Artoo, youre playing the wrong message.",episode VI
JABBA,There will be no bargain.,episode VI
THREEPIO,Were doomed.,episode VI
JABBA,I will not give up my favorite decoration. I like Captain Solo where he is.,episode VI
THREEPIO,"Artoo, look Captain Solo. And hes still frozen in carbonite.",episode VI
THREEPIO,What could possibly have come over Master Luke. Is it something I did He never expressed any unhappiness with my work. Oh Oh Hold it Ohh,episode VI
NINEDENINE,"Ah, good. New acquisitions. You are a protocol droid, are you not",episode VI
THREEPIO,"I am See-Threepio, human-cy...",episode VI
NINEDENINE,Yes or no will do.,episode VI
THREEPIO,"Oh. Well, yes.",episode VI
NINEDENINE,How many languages do you speak,episode VI
THREEPIO,"I am fluent in over six million forms of communication, and can readily...",episode VI
NINEDENINE,Splendid We have been without an interpreter since our master got angry with our last protocol droid and disintegrated him.,episode VI
THREEPIO,Disintegrated,episode VI
NINEDENINE,Guard This protocol droid might be useful. Fit him with a restraining bolt and take him back to His Excellencys main audience chamber.,episode VI
THREEPIO,"Artoo, dont leave me Ohhh",episode VI
NINEDENINE,"Youre a feisty little one, but youll soon learn some respect. I have need for you on the masters Sail Barge. And I think youll fit in nicely.",episode VI
JABBA,Da Eitha,episode VI
OOLA,Na Chuba negatorie Na Na Natoota...,episode VI
JABBA,Boscka,episode VI
BOUSHH,I have come for the bounty on this Wookiee.,episode VI
THREEPIO,"Oh, no Chewbacca",episode VI
JABBA,At last we have the mighty Chewbacca.,episode VI
THREEPIO,"Oh, uh, yes, uh, I am here, Your Worshipfulness. Uh... yes",episode VI
THREEPIO,Oh. The illustrious Jabba bids you welcome and will gladly pay you the reward of twenty- five thousand.,episode VI
BOUSHH,I want fifty thousand. No less.,episode VI
THREEPIO,"Uh, oh... but what, what did I say  Uh, the mighty Jabba asks why he must pay fifty thousand.",episode VI
THREEPIO,Because hes holding a thermal detonator.,episode VI
JABBA,This bounty hunter is my kind of scum. Fearless and inventive.,episode VI
THREEPIO,Jabba offers the sum of thirty-five. And I suggest you take it.,episode VI
BOUSHH,Zeebuss.,episode VI
THREEPIO,He agrees,episode VI
BOUSHH,Just relax for a moment. Youre free of the carbonite.,episode VI
BOUSHH,Shhh. You have hibernation sickness.,episode VI
HAN,I cant see.,episode VI
BOUSHH,You eyesight will return in time.,episode VI
HAN,Where am I,episode VI
BOUSHH,Jabbas palace.,episode VI
HAN,Who are you,episode VI
LEIA,Someone who loves you.,episode VI
HAN,Leia,episode VI
LEIA,I gotta get you out of here.,episode VI
HAN,Whats that I know that laugh.,episode VI
HAN,"Hey, Jabba. Look, Jabba, I was just on my way to pay you back, but I got a little sidetracked. Its not my fault.",episode VI
JABBA,"Its too late for that, Solo. You may have been a good smuggler, but now youre Bantha fodder.",episode VI
HAN,Look...,episode VI
JABBA,Take him away,episode VI
HAN,Jabba... Ill pay you triple Youre throwing away a fortune here. Dont be a fool,episode VI
JABBA,Bring her to me.,episode VI
LEIA,We have powerful friends. Youre gonna regret this...,episode VI
JABBA,Im sure.,episode VI
LEIA,Ugh,episode VI
THREEPIO,"Ohhh, I cant bear to watch.",episode VI
HAN,"Chewie Chewie, is that you",episode VI
HAN,Ah Chew--Chewie,episode VI
HAN,"Wait. I cant see, pal. Whats goin on",episode VI
HAN,"Luke Lukes crazy. He cant even take care of himself, much less rescue anybody.",episode VI
HAN,"A...Jedi Knight I--Im out of it for a little while, everybody gets delusions of grandeur.",episode VI
HAN,"Im all right, pal. Im all right.",episode VI
LUKE,I must speak with Jabba.,episode VI
LUKE,You will take me to Jabba now,episode VI
LUKE,You serve your master well.,episode VI
LUKE,And you will be rewarded.,episode VI
THREEPIO,At last Master Lukes come to rescue me.,episode VI
BIB,Master.,episode VI
BIB,"...Luke Skywalker, Jedi Knight.",episode VI
JABBA,I told you not to admit him.,episode VI
LUKE,I must be allowed to speak.,episode VI
BIB,He must be allowed to speak.,episode VI
JABBA,You weak-minded fool Hes using an old Jedi mind trick.,episode VI
LUKE,You will bring Captain Solo and the Wookiee to me.,episode VI
JABBA,"Your mind powers will not work on me, boy.",episode VI
LUKE,"Nevertheless, Im taking Captain Solo and his friends. You can either profit by this... or be destroyed Its your choice. But I warn you not to underestimate my powers.",episode VI
THREEPIO,"Master Luke, youre standing on...",episode VI
JABBA,"There will be no bargain, young Jedi. I shall enjoy watching you die.",episode VI
JABBA,Bascka,episode VI
THREEPIO,"Oh, no The Rancor",episode VI
JABBA,Bring me Solo and the Wookiee. They will all suffer for this outrage.,episode VI
LUKE,Han,episode VI
HAN,Luke,episode VI
LUKE,Are you all right,episode VI
HAN,"Fine. Together again, huh",episode VI
LUKE,Wouldnt miss it.,episode VI
HAN,How are we doing,episode VI
LUKE,The same as always.,episode VI
HAN,"That bad, huh Wheres Leia",episode VI
LEIA,Im here.,episode VI
THREEPIO,"Oh, dear. His High Exaltedness, the great Jabba the Hutt, has decreed that you are to be terminated immediately.",episode VI
HAN,"Good, I hate long waits.",episode VI
THREEPIO,"You will therefore be taken to the Dune Sea and cast into the pit of Carkoon, the nesting place of the all-powerful Sarlacc.",episode VI
HAN,Doesnt sound so bad.,episode VI
THREEPIO,"In his belly, you will find a new definition of pain and suffering, as you are slowly digested over a thousand years.",episode VI
HAN,"On second thought, lets pass on that, huh",episode VI
LUKE,"You should have bargained, Jabba. Thats the last mistake youll ever make.",episode VI
HAN,"I think my eyes are getting better. Instead of a big dark blur, I see a big light blur.",episode VI
LUKE,"Theres nothing to see. I used to live here, you know.",episode VI
HAN,"Youre gonna die here, you know. Convenient.",episode VI
LUKE,Just stick close to Chewie and Lando. Ive taken care of everything.,episode VI
HAN,Oh... great,episode VI
JABBA,Soon you will learn to appreciate me.,episode VI
THREEPIO,"Oh, Im terribly sor... Artoo What are you doing here",episode VI
THREEPIO,"Well, I can see youre serving drinks, but this place is dangerous. Theyre going to execute Master Luke and, if were not careful, us too",episode VI
THREEPIO,Hmm.  I wish I had your confidence.,episode VI
THREEPIO,"Victims of the almighty Sarlacc: His Excellency hopes that you will die honorably. But should any of you wish to beg for mercy, the great Jabba the Hutt will now listen to your pleas.",episode VI
HAN,"Threepio, you tell that slimy piece of... worm-ridden filth hell get no such pleasure from us. Right",episode VI
LUKE,Jabba This is your last chance. Free us or die.,episode VI
JABBA,Move him into position.,episode VI
JABBA,Put him in.,episode VI
LUKE,"Easy, Chewie.",episode VI
LANDO,Whoa Whoa Help,episode VI
HAN,"Chewie, you okay Where is he",episode VI
HAN,"Im okay, pal.",episode VI
LANDO,Han Chewie,episode VI
HAN,Lando,episode VI
HAN,Boba Fett Boba Fett Where,episode VI
HAN,"Lando, grab it",episode VI
LANDO,Lower it,episode VI
HAN,Im trying,episode VI
HAN,"Whoa Whoa Grab me, Chewie Im slipping.",episode VI
HAN,Grab it L--Lando. Grab,episode VI
HAN,Grab it Almost... You almost got it,episode VI
LANDO,Hold it Whoa,episode VI
HAN,"Gently now. All... all right. Now easy, easy. Hold me, Chewie.",episode VI
HAN,"Chewie Chewie, give me the gun. Dont move, Lando.",episode VI
LANDO,"No, wait I thought you were blind",episode VI
HAN,Its all right. Trust me. Dont move.,episode VI
LANDO,All right A little higher Just a little higher,episode VI
HAN,"Chewie, Pull us up Come on Okay... up, Chewie, up",episode VI
LEIA,Come on. We gotta get out of here quick.,episode VI
THREEPIO,"Not my eyes Artoo, help Quickly, Artoo. Oh Ohhh You beast",episode VI
LUKE,Get the gun Point it at the deck,episode VI
LUKE,Point it at the deck,episode VI
THREEPIO,"Artoo, where are we going I couldnt possibly jump.",episode VI
LUKE,Come on,episode VI
LUKE,Lets go And dont forget the droids.,episode VI
LANDO,Were on our way.,episode VI
HAN,I dont know. All I can see is a lot of blowing sand,episode VI
LEIA,Thats all any of us can see.,episode VI
HAN,Then I guess Im getting better.,episode VI
HAN,"Ive got to hand it to you, kid, you were pretty good out there.",episode VI
LUKE,I had a lot of help. Think nothing of it.,episode VI
HAN,"No, Im thinking a lot about it. That carbon freeze was the closest thing to dead there is. And it wasnt just sleepin. It was a big wide awake nothing",episode VI
LUKE,Ill see you back at the fleet.,episode VI
HAN,Why dont you leave that crate and come with us,episode VI
LUKE,I have a promise I have to keep first... to an old friend.,episode VI
HAN,"Guess I owe you some thanks, too, Lando.",episode VI
LANDO,"Figured if I left you frozen like that youd just give me bad luck the rest of my life, so I might as well get you unfrozen sooner or later.",episode VI
LEIA,He means Youre welcome.,episode VI
LANDO,"Come on, lets get off this miserable dust ball.",episode VI
LUKE,Ill meet you back at the fleet.,episode VI
LEIA,Hurry. The Alliance should be assembled by now.,episode VI
LUKE,I will.,episode VI
HAN,"Hey, Luke, thanks. Thanks for comin after me. Now I owe you one.",episode VI
LUKE,"Thats right, Artoo. Were going to the  Dagobah system. I have a promise to keep...  to an old friend.",episode VI
EMPEROR,"Rise, my friend.",episode VI
VADER,The Death Star will be completed on schedule.,episode VI
EMPEROR,"You have done well, Lord Vader. And now I sense you wish to continue your search for young Skywalker.",episode VI
VADER,"Yes, my Master.",episode VI
EMPEROR,"Patience, my friend. In time he will seek you out. And when he does, you must bring him before me. He has grown strong. Only together can we turn him to the dark side of the Force.",episode VI
VADER,As you wish.,episode VI
EMPEROR,Everything is proceeding as I have foreseen.,episode VI
YODA,Hmm. That face you make. Look I so old to young eyes,episode VI
LUKE,No... of course not.,episode VI
YODA,"I do, yes, I do  Sick have I become. Old and weak.  When nine hundred years old you reach, look as good you will not. Hmm",episode VI
YODA,"Soon will I rest. Yes, forever sleep. Earned it, I have.",episode VI
LUKE,"Master Yoda, you cant die.",episode VI
YODA,Strong am I with the Force... but not that strong Twilight is upon me and soon night must fall. That is the way of things ... the way of the Force.,episode VI
LUKE,But I need your help. Ive come back to complete the training.,episode VI
YODA,No more training do you require. Already know you that which you need.,episode VI
LUKE,Then I am a Jedi,episode VI
YODA,"Ohhh. Not yet. One thing remains: Vader. You must confront Vader. Then, only then, a Jedi will you be. And confront him you will.",episode VI
LUKE,Master Yoda... is Darth Vader my father,episode VI
YODA,Mmm... rest I need. Yes... rest.,episode VI
LUKE,"Yoda, I must know.",episode VI
YODA,Your father he is.,episode VI
YODA,"Told you, did he",episode VI
LUKE,Yes.,episode VI
YODA,"Unexpected this is, and unfortunate..",episode VI
LUKE,Unfortunate that I know the truth,episode VI
YODA,No. Unfortunate that you rushed to face him... that incomplete was your training. Not ready for the burden were you.,episode VI
LUKE,"Well, Im sorry.",episode VI
YODA,"Remember, a Jedis strength flows from the Force.  But beware.  Anger, fear, aggression. The dark side are they.  Once you start down the dark path, forever will it dominate your destiny.",episode VI
YODA,"Luke...Luke...Do not...Do not underestimate the powers of the Emperor, or suffer your fathers fate, you will. Luke, when gone am I , the last of the Jedi will you be. Luke, the Force runs strong in your family. Pass on what you have learned, Luke...  There is... another...Sky...Sky...walker.",episode VI
LUKE,"I cant do it, Artoo. I cant go on alone.",episode VI
BEN,Yoda will always be with you.,episode VI
LUKE,Obi-Wan Why didnt you tell me,episode VI
LUKE,You told me Vader betrayed and murdered my father.,episode VI
BEN,"You father was seduced by the dark side of the Force. He ceased to be Anakin Skywalker and became Darth Vader. When that happened, the good man who was your father was destroyed. So what I have told you was true... from a certain point of view.",episode VI
LUKE,A certain point of view,episode VI
BEN,"Luke, youre going to find that many of the truths we cling to depend greatly on our own point of view.",episode VI
BEN,"I dont blame you for being angry. If I was wrong in what I did, it certainly wouldnt have been for the first time. You see, what happened to your father was my fault.",episode VI
BEN,Anakin was a good friend.,episode VI
BEN,"When I first knew him, your father was already a great pilot. But I was amazed how strongly the Force was with him.  I took it upon myself to train him as a Jedi.  I thought that I could instruct him just as well as Yoda.  I was wrong.  My pride has had terrible consequences for the galaxy.",episode VI
LUKE,Theres still good in him.,episode VI
BEN,I also thought he could be turned back to the good side. It couldnt be done. He is more machine now than man. Twisted and evil.,episode VI
LUKE,"I cant do it, Ben.",episode VI
BEN,You cannot escape your destiny.,episode VI
LUKE,I tried to stop him once. I couldnt do it.,episode VI
BEN,"Vader humbled you when first you met him, Luke...but that experience was part of your training. It taught you, among other things, the value of patience.  Had you not been so impatient to defeat Vader then, you could have finished your training here with Yoda. You would have been prepared.",episode VI
LUKE,But I had to help my friends.,episode VI
BEN,"And did you help them It was they who had to save you. You achieved little by rushing back prematurely, I fear.",episode VI
LUKE,I found out Darth Vader was my father.,episode VI
BEN,"To be a Jedi, Luke, you must confront and then go beyond the dark side - the side your father couldnt get past. Impatience is the easiest door - for you, like your father. Only, your father was seduced by what he found on the other side of the door, and you have held firm. Youre no longer so reckless now, Luke. You are strong and patient. And now, you must face Darth Vader again",episode VI
LUKE,I cant kill my own father.,episode VI
BEN,Then the Emperor has already won. You were our only hope.,episode VI
LUKE,Yoda spoke of another.,episode VI
BEN,The other he spoke of is your twin sister.,episode VI
LUKE,But I have no sister.,episode VI
BEN,"Hmm. To protect you both from the Emperor, you were hidden from your father when you were born. The Emperor knew, as I did, if Anakin were to have any offspring, they would be a threat to him. That is the reason why your sister remains safely anonymous.",episode VI
LUKE,Leia Leias my sister.,episode VI
BEN,"Your insight serves you well. Bury your feelings deep down, Luke. They do you credit. But they could be made to serve the Emperor.",episode VI
BEN,"When your father left, he didnt know your mother was pregnant. Your mother and I knew he would find out eventually, but we wanted to keep you both as safe as possible, for as long as possible.  So I took you to live with my brother Owen on Tatooine... and your mother took Leia to live as the daughter of Senator Organa, on Alderaan.",episode VI
BEN,"The Organa household was high-born and politically quite powerful in that system. Leia became a princess by virtue of lineage... no one knew shed been adopted, of course. But it was a title without real power, since Alderaan had long been a democracy.  Even so, the family continued to be politically powerful, and Leia, following in her foster fathers path, became a senator as well.  Thats not all she became, of course... she became the leader of her cell in the Alliance against the corrupt Empire. And because she had diplomatic immunity, she was a vital link for getting information to the Rebel cause.  Thats what she was doing when her path crossed yours... for her foster parents had always told her to contact me on Tatooine, if her troubles became desperate.",episode VI
LUKE,"But you cant let her get involved now, Ben. Vader will destroy her.",episode VI
BEN,"She hasnt been trained in the ways of the Jedi the way you have, Luke ... but the Force is strong with her, as it is with all of your family. There is no avoiding the battle. You must face and destroy Vader",episode VI
HAN,"Well, look at you, a general, huh",episode VI
LANDO,"Oh, well, someone must have told them about my little maneuver at the battle of Taanab.",episode VI
HAN,"Well, dont look at me, pal. I just said you were a fair pilot. I didnt know they were lookin for somebody to lead this crazy attack.",episode VI
LANDO,Im surprised they didnt ask you to do it.,episode VI
HAN,"Well, who says they didnt.  But I aint crazy. Youre the respectable one, remember",episode VI
MON MOTHMA,The Emperor has made a critical error and the time for our attack has come.,episode VI
MON MOTHMA,"The data brought to us by the Bothan spies pinpoints the exact location of the Emperors new battle station. We also know that the weapon systems of this Death Star are not yet operational. With the Imperial Fleet spread throughout the galaxy in a vain effort to engage us, it is relatively unprotected. But most important of all, weve learned that the Emperor himself is personally overseeing the final stages of the construction of this Death Star.",episode VI
MON MOTHMA,"Many Bothans died to bring us this information. Admiral Ackbar, please.",episode VI
ACKBAR,"You can see here the Death Star orbiting the forest Moon of Endor. Although the weapon systems on this Death Star are not yet operational, the Death Star does have a strong defense mechanism. It is protected by an energy shield, which is generated from the nearby forest Moon of Endor. The shield must be deactivated if any attack is to be attempted. Once the shield is down, our cruisers will create a perimeter, while the fighters fly into the superstructure and attempt to knock out the main reactor.",episode VI
ACKBAR,General Calrissian has volunteered to lead the fighter attack,episode VI
HAN,Good luck.,episode VI
HAN,Youre gonna need it.,episode VI
ACKBAR,General Madine.,episode VI
GENERAL MADINE,"We have stolen a small Imperial shuttle. Disguised as a cargo ship, and using a secret Imperial code, a strike team will land on the moon and deactivate the shield generator.",episode VI
THREEPIO,Sounds dangerous.,episode VI
LEIA,I wonder who they found to pull that off.,episode VI
GENERAL MADINE,"General Solo, is your strike team assembled",episode VI
HAN,"Uh, my teams ready. I dont have a command crew for the shuttle.",episode VI
HAN,"Well, its gonna be rough, pal. I didnt want to speak for you.",episode VI
HAN,Thats one.,episode VI
LEIA,"Uh, General... count me in.",episode VI
VOICE,"Im with you, too",episode VI
LEIA,What is it,episode VI
LUKE,Ask me again sometime.,episode VI
HAN,Luke.,episode VI
LUKE,"Hi, Han... Chewie.",episode VI
THREEPIO, Exciting is hardly the word I would,episode VI
HAN,Look. I want you to take her. I mean it. Take her. You need all the help you can get. Shes the fastest ship in the fleet.,episode VI
LANDO,"All right, old buddy. You know, I know what she means to you. Ill take good care of her. She-she wont get a scratch. All right",episode VI
HAN,Right. I got your promise now. Not a scratch.,episode VI
LANDO,"Look, would you get going, you pirate.",episode VI
LANDO,Good luck.,episode VI
HAN,"You, too.",episode VI
HAN,You got her warmed,episode VI
LUKE,"Yeah, shes comin up.",episode VI
HAN,"No. I dont think the Empire had Wookiees in mind when they designed her, Chewie.",episode VI
LEIA,"Hey, are you awake",episode VI
HAN,"Yeah, I just got a funny feeling. Like Im not gonna see her again.",episode VI
LEIA,"Come on, General, lets move.",episode VI
HAN,"Right. Chewie, lets see what this piece of junk can do. Ready, everybody",episode VI
LUKE,All set.,episode VI
THREEPIO,Here we go again.,episode VI
HAN,"All right, hang on.",episode VI
VADER,"What is thy bidding, my Master",episode VI
EMPEROR,Send the fleet to the far side of Endor. There it will stay until called for.,episode VI
VADER,What of the reports of the Rebel fleet massing near Sullust,episode VI
EMPEROR,"It is of no concern. Soon the Rebellion will be crushed and young Skywalker will be one of us Your work here is finished, my friend. Go out to the command ship and await my orders.",episode VI
VADER,"Yes, my Master.",episode VI
HAN,"If they dont go for this, were gonna have to get outta here pretty quick, Chewie.",episode VI
CONTROLLER,We have you on our screen now. Please identify.,episode VI
HAN,Shuttle Tydirium requesting deactivation of the deflector shield.,episode VI
CONTROLLER,"Shuttle Tydirium, transmit the clearance code for shield passage.",episode VI
HAN,Transmission commencing.,episode VI
LEIA,Now we find out if that code is worth the price we paid.,episode VI
HAN,Itll work. Itll work.,episode VI
LUKE,Vaders on that ship.,episode VI
HAN,"Now dont get jittery, Luke. There are a lot of command ships. Keep your distance though, Chewie, but dont look like youre trying to keep your distance.",episode VI
HAN,I dont know.  Fly casual.,episode VI
LUKE,Im endangering the mission. I shouldnt have come.,episode VI
HAN,"Its your imagination, kid. Come on. Lets keep a little optimism here.",episode VI
VADER,Where is that shuttle going,episode VI
PIETT,"Shuttle Tydirium, what is your cargo and destination",episode VI
PILOT VOICE,Parts and technical crew for the forest moon.,episode VI
VADER,Do they have a code clearance,episode VI
PIETT,"Its an older code, sir, but it checks out. I was about to clear them.",episode VI
PIETT,Shall I hold them,episode VI
VADER,No. Leave them to me. I will deal with them myself.,episode VI
PIETT,"As you wish, my lord.  Carry on.",episode VI
HAN,"Theyre not goin for it, Chewie.",episode VI
CONTROLLER,"Shuttle Tydirium, deactivation of the shield will commence immediately. Follow your present course.",episode VI
HAN,Okay I told you it was gonna work. No problem.,episode VI
THREEPIO,"Oh, I told you it was dangerous here.",episode VI
LEIA,Shall we try and go around,episode VI
HAN,Itll take time. This whole partyll be for nothing if they see us.,episode VI
HAN,Chewie and I will take care of this. You stay here.,episode VI
LUKE,"Quietly, there might be more of them out there.",episode VI
HAN,Hey... its me.,episode VI
SCOUT #1,Go for help Go,episode VI
LUKE,Great. Come on.,episode VI
LEIA,Over there Two more of them,episode VI
LUKE,"I see them. Wait, Leia",episode VI
LUKE,Quick Jam their comlink. Center switch,episode VI
HAN,"Hey, wait Ahhh",episode VI
LUKE,Move closer,episode VI
LUKE,Get alongside that one,episode VI
LUKE,Get him,episode VI
LUKE,Keep on that one Ill take these two,episode VI
THREEPIO,"Oh, General Solo, somebodys coming. Oh",episode VI
HAN,Luke Wheres Leia,episode VI
LUKE,What She didnt come back,episode VI
HAN,I thought she was with you.,episode VI
LUKE,We got separated.,episode VI
LUKE,"Hey, we better go look for her.",episode VI
HAN,Take the squad ahead.  Well meet at the shield generator at 0300.,episode VI
LUKE,"Come on, Artoo.  Well need your scanners.",episode VI
THREEPIO,"Dont worry, Master Luke.  We know what to do.",episode VI
THREEPIO,And you said it was pretty here. Ugh,episode VI
LEIA,Cut it out,episode VI
LEIA,Im not gonna hurt you.,episode VI
LEIA,"Well, looks like Im stuck here. Trouble is, I dont know where here is.",episode VI
LEIA,"Well, maybe you can help me. Come on, sit down.",episode VI
LEIA,I promise I wont hurt you. Now come here.,episode VI
LEIA,All right. You want something to eat,episode VI
LEIA,Thats right. Come on. Hmmm,episode VI
LEIA,"Look, its a hat. Its not gonna hurt you. Look. Youre a jittery little thing, arent you",episode VI
LEIA,What is it,episode VI
SCOUT #l,"Freeze  Come on, get up",episode VI
SCOUT #1,Go get your ride and take her back to base.,episode VI
SCOUT #2,"Yes, sir.",episode VI
LEIA,"Come on, lets get outta here.",episode VI
GUARD,Halt The Emperor does not wish to be disturbed at the moment.,episode VI
VADER,"The Emperor will see me, now",episode VI
GUARD,"The Emperor will see you, now.",episode VI
EMPEROR,I told you to remain on the command ship.,episode VI
VADER,A small Rebel force has penetrated the shield and landed on Endor.,episode VI
EMPEROR,"Yes, I know.",episode VI
VADER,My son is with them.,episode VI
EMPEROR,Are you sure,episode VI
VADER,"I have felt him, my Master.",episode VI
EMPEROR,"Strange, that I have not. I wonder if your feelings on this matter are clear, Lord Vader.",episode VI
VADER,"They are clear, my Master.",episode VI
EMPEROR,Then you must go to the Sanctuary Moon and wait for them.,episode VI
VADER,He will come to me,episode VI
EMPEROR,I have foreseen it. His compassion for you will be his undoing. He will come to you and then you will bring him before me.,episode VI
VADER,As you wish.,episode VI
HAN,Luke Luke,episode VI
THREEPIO,"Oh, Master Luke.",episode VI
LUKE,Theres two more wrecked speeders back there. And I found this.,episode VI
THREEPIO,Im afraid that Artoos sensors can find no trace of Princess Leia.,episode VI
HAN,I hope shes alright.,episode VI
HAN,"What, Chewie What Chewie",episode VI
HAN,"Hey, I dont get it.",episode VI
HAN,"Nah, its just a dead animal, Chewie.",episode VI
LUKE,"Chewie, wa-wait  Dont",episode VI
HAN,"Nice work. Great, Chewie Great Always thinking with your stomach.",episode VI
LUKE,"Will you take it easy Lets just figure out a way to get out of this thing.  Han, can you reach my lightsaber",episode VI
HAN,"Yeah, sure.",episode VI
THREEPIO,"Artoo, Im not sure thats such a good idea. Its a very long dro-o-op",episode VI
HAN,Wha--  Hey  Point that thing someplace else.,episode VI
HAN,Hey,episode VI
LUKE,"Han, dont. Itll be all right.",episode VI
LUKE,"Chewie, give em your crossbow.",episode VI
THREEPIO,"Oh, my head. Oh, my goodness",episode VI
LUKE,Do you understand anything theyre saying,episode VI
THREEPIO,"Oh, yes, Master Luke  Remember that I am fluent in over six million forms of communication.",episode VI
HAN,What are you telling them,episode VI
THREEPIO,"Hello, I think... I could be mistaken. Theyre using a very primitive dialect.  But I do believe they think I am some sort of god.",episode VI
HAN,"Well, why dont you use your divine influence and get us out of this",episode VI
THREEPIO,"I beg your pardon, General Solo, but that just wouldnt be proper.",episode VI
HAN,Proper,episode VI
THREEPIO,Its against my programming to impersonate a deity.,episode VI
HAN,"Why, you--",episode VI
HAN,My mistake. Hes an old friend of mine.,episode VI
HAN,I have a really bad feeling about this.,episode VI
HAN,What did he say,episode VI
THREEPIO,"Im rather embarrassed, General Solo, but it appears you are to be the main course at a banquet in my honor.",episode VI
HAN and LUKE,Leia,episode VI
LEIA,Oh,episode VI
THREEPIO,Your Royal Highness.,episode VI
LEIA,"But these are my friends. Threepio, tell them they must be set free.",episode VI
HAN,"Somehow, I got the feeling that didnt help us very much.",episode VI
LUKE,"Threepio, tell them if they dont do as you wish, youll become angry and use your magic.",episode VI
THREEPIO,"But Master Luke, what magic couldnt possibly --",episode VI
LUKE,Just tell them.,episode VI
THREEPIO,"You see, Master Luke they didnt believe me. Just...",episode VI
THREEPIO,"... as I said they wouldnt. Wha-wha-whats happening Oh Oh, dear Oh",episode VI
THREEPIO,"Put me down He-e-elp Master Luke Artoo Somebody, somebody, help Master Luke, Artoo Artoo, quickly Do something, somebody Oh Ohhh",episode VI
THREEPIO,"Oh, oh, oh, oh Thank goodness.",episode VI
LUKE,"Thanks, Threepio.",episode VI
THREEPIO,I...I never knew I had it in me.,episode VI
THREEPIO,"Yes, Artoo. I was just coming to that.",episode VI
HAN,Whats going on,episode VI
LEIA,I dont know.,episode VI
THREEPIO,Wonderful We are now a part of the tribe.,episode VI
HAN,Just what I always wanted.,episode VI
HAN,"Well, short help is better than no help at all, Chewie.  Thank you. Okay.",episode VI
THREEPIO,He says the scouts are going to show us the quickest way to the shield generator.,episode VI
HAN,"Good. How far is it Ask him. We need some fresh supplies, too. And try and get our weapons back.",episode VI
HAN,"And hurry up, will ya I havent got all day.",episode VI
LUKE,"Luke, whats wrong",episode VI
LUKE,Leia... do you remember your mother Your real mother,episode VI
LEIA,Just a little bit. She died when I was very young.,episode VI
LUKE,What do you remember,episode VI
LEIA,"Just...images, really. Feelings.",episode VI
LUKE,Tell me.,episode VI
LEIA,"She was very beautiful. Kind, but...sad.  Why are you asking me all this",episode VI
LUKE,I have no memory of my mother. I never knew her.,episode VI
LEIA,"Luke, tell me. Whats troubling you",episode VI
LUKE,"Vader is here...now, on this moon.",episode VI
LEIA,How do you know,episode VI
LUKE,"I felt his presence. Hes come for me. He can feel when Im near. Thats why I have to go.  As long as I stay, Im endangering the group and our mission here.  I have to face him.",episode VI
LEIA,Why,episode VI
LUKE,Hes my father.,episode VI
LEIA,Your father,episode VI
LUKE,"Theres more. It wont be easy for you to hear it, but you must. If I dont make it back, youre the only hope for the Alliance.",episode VI
LEIA,"Luke, dont talk that way. You have a power I--I dont understand and could never have.",episode VI
LUKE,"Youre wrong, Leia. You have that power too. In time youll learn to use it as I have. The Force is strong in my family. My father has it...I have it...and...my sister has it.",episode VI
LUKE,Yes. Its you Leia.,episode VI
LEIA,I know. Somehow...Ive always known.,episode VI
LUKE,Then you know why I have to face him.,episode VI
LEIA,"No Luke, run away, far away. If he can feel your presence, then leave this place. I wish I could go with you.",episode VI
LUKE,"No, you dont. Youve always been strong.",episode VI
LEIA,"But, why must you confront him",episode VI
LUKE,Because...there is good in him. Ive felt it. He wont turn me over to the Emperor. I can save him. I can turn him back to the good side. I have to try.,episode VI
HAN,"Hey, whats goin on",episode VI
LEIA,Nothing. I - just want to be alone for a little while.,episode VI
HAN,"Nothing  Come on, tell me.  Whats goin on",episode VI
LEIA,I...I cant tell you.,episode VI
HAN,Did you tell Luke Is that who you could tell,episode VI
LEIA,I...,episode VI
HAN,Ahhh...,episode VI
HAN,Im sorry.,episode VI
LEIA,Hold me.,episode VI
COMMANDER,"This is a Rebel that surrendered to us. Although he denies it, I believe there may be more of them, and I request permission to conduct a further search of the area.",episode VI
COMMANDER,He was armed only with this.,episode VI
VADER,"Good work, Commander. Leave us. Conduct your search and bring his companions to me.",episode VI
COMMANDER,"Yes, my Lord.",episode VI
VADER,The Emperor has been expecting you.,episode VI
LUKE,"I know, father.",episode VI
VADER,"So, you have accepted the truth.",episode VI
LUKE,"Ive accepted the truth that you were once Anakin Skywalker, my father.",episode VI
VADER,That name no longer has any meaning for me.,episode VI
LUKE,It is the name of your true self. Youve only forgotten. I know there is good in you. The Emperor hasnt driven it from you fully. That is why you couldnt destroy me. Thats why you wont bring me to your Emperor now.,episode VI
VADER,I see you have constructed a new lightsaber.,episode VI
VADER,"Your skills are complete. Indeed, you are powerful, as the Emperor has foreseen.",episode VI
LUKE,Come with me.,episode VI
VADER,Obi-Wan once thought as you do.,episode VI
VADER,You dont know the power of the dark side. I must obey my master.,episode VI
LUKE,I will not turn...and youll be forced to kill me.,episode VI
VADER,If that is your destiny.,episode VI
LUKE,"Search your feelings, father. You cant do this. I feel the conflict within you. Let go of your hate.",episode VI
VADER,"It is too late for me, son. The Emperor will show you the true nature of the Force. He is your master now.",episode VI
